service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"20170404_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20170404_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20170407_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20170407_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20170407_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20170407_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20170408_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20170409_99991231_mon0_tue0_wed0_thu0_fri0_sat0_sun1",0,0,0,0,0,0,1,20180820,20190819
"20170424_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20170424_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20170424_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20170424_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20170425_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20170425_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20170425_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20170425_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20170427_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20170427_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20170427_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20170427_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20170506_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20170507_99991231_mon0_tue0_wed0_thu0_fri0_sat0_sun1",0,0,0,0,0,0,1,20180820,20190819
"20170523_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20170523_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20170523_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20170523_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20170527_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20170811_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20170811_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20170811_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20170811_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20170821_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20170821_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20170821_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20170821_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20170825_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
"20170825_99991231_mon0_tue0_wed0_thu1_fri0_sat0_sun0",0,0,0,1,0,0,0,20180820,20190819
"20170825_99991231_mon0_tue0_wed1_thu0_fri0_sat0_sun0",0,0,1,0,0,0,0,20180820,20190819
"20170825_99991231_mon0_tue1_wed0_thu0_fri0_sat0_sun0",0,1,0,0,0,0,0,20180820,20190819
"20170826_99991231_mon0_tue0_wed0_thu0_fri0_sat1_sun0",0,0,0,0,0,1,0,20180820,20190819
"20170910_99991231_mon0_tue0_wed0_thu0_fri0_sat0_sun1",0,0,0,0,0,0,1,20180820,20190819
"20170929_99991231_mon0_tue0_wed0_thu0_fri1_sat0_sun0",0,0,0,0,1,0,0,20180820,20190819
