route_id,service_id,trip_id,direction_id,block_id,shape_id
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1319_20170901_99991231_20170530_99991231_2","1319_20170901_99991231_20170530_99991231_2","1","","03I - Capitol Complex to WVSU_Apr  4 2017 10:52:06:003AM"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1555_20170901_99991231_20170405_99991231_4","1555_20170901_99991231_20170405_99991231_4","0","","03I - Transit Mall to Capitol Complex"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1555_20170901_99991231_20170405_99991231_6","1555_20170901_99991231_20170405_99991231_6","0","","03I - Transit Mall to Capitol Complex"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1609_20170901_99991231_20170530_99991231_2","1609_20170901_99991231_20170530_99991231_2","1","","03N - Capitol Complex to Mardi Gras Resort_Apr  4 2017 11:03:03:050AM"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1613_Mar  7 2016  6:30:39:947AM_20170901_99991231_20170404_99991231_1","1613_Mar  7 2016  6:30:39:947AM_20170901_99991231_20170404_99991231_1","0","","03N - Mardi Gras Resort to Transit Mall"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1619_20170901_99991231_20170405_99991231_5","1619_20170901_99991231_20170405_99991231_5","1","","03I - Capitol Complex to WVSU via Roxalana _Apr  4 2017 10:52:23:270AM"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1619_20170901_99991231_20170405_99991231_6","1619_20170901_99991231_20170405_99991231_6","1","","03I - Capitol Complex to WVSU via Roxalana _Apr  4 2017 10:52:23:270AM"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1651_20170901_99991231_20170405_99991231_4","1651_20170901_99991231_20170405_99991231_4","0","","03I - Washington St & Stockton St to Cap Complex"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1651_20170901_99991231_20170405_99991231_5","1651_20170901_99991231_20170405_99991231_5","0","","03I - Washington St & Stockton St to Cap Complex"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1705_20170901_99991231_20170405_99991231_5","1705_20170901_99991231_20170405_99991231_5","1","","03I - Capitol Complex to Transit Mall"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1705_20170901_99991231_20170530_99991231_2","1705_20170901_99991231_20170530_99991231_2","1","","03I - Capitol Complex to Transit Mall"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1741_20170901_99991231_20170404_99991231_6","1741_20170901_99991231_20170404_99991231_6","0","","03N - Mardi Gras Resort to Capitol Complex_Mar 28 2017  4:55:02:703PM"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1741_20170901_99991231_20170530_99991231_2","1741_20170901_99991231_20170530_99991231_2","0","","03N - Mardi Gras Resort to Capitol Complex_Mar 28 2017  4:55:02:703PM"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1804_20170901_99991231_20170405_99991231_4","1804_20170901_99991231_20170405_99991231_4","1","","03I - Capitol Complex to WVSU_Apr  4 2017 10:52:06:003AM"
"Route 03 - Institute / WV State University / Nitro","Route 03 - Institute / WV State University / Nitro_1804_20170901_99991231_20170405_99991231_6","1804_20170901_99991231_20170405_99991231_6","1","","03I - Capitol Complex to WVSU_Apr  4 2017 10:52:06:003AM"
