shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled,dist_from_previous
R1_in_OrdPk_LTM, 38.381011, -81.794022, 112, 10.53, 0.124
R1_in_OrdPk_LTM, 38.381856, -81.795788, 113, 10.65, 0.112
R1_in_OrdPk_LTM, 38.382152, -81.796471, 114, 10.69, 0.042
R1_in_OrdPk_LTM, 38.382506, -81.797404, 115, 10.74, 0.056
R1_in_OrdPk_LTM, 38.382890, -81.798763, 116, 10.82, 0.078
R1_in_OrdPk_LTM, 38.383535, -81.800980, 117, 10.95, 0.128
R1_in_OrdPk_LTM, 38.384517, -81.804468, 118, 11.15, 0.201
R1_in_OrdPk_LTM, 38.385242, -81.806995, 119, 11.30, 0.146
R1_in_OrdPk_LTM, 38.385874, -81.809411, 120, 11.44, 0.138
R1_in_OrdPk_LTM, 38.386396, -81.811833, 121, 11.57, 0.136
R1_in_OrdPk_LTM, 38.386838, -81.814705, 122, 11.73, 0.159
R1_in_OrdPk_LTM, 38.387378, -81.818445, 123, 11.94, 0.206
R1_in_OrdPk_LTM, 38.387662, -81.820201, 124, 12.03, 0.097
R1_in_OrdPk_LTM, 38.388097, -81.823198, 125, 12.20, 0.165
R1_in_OrdPk_LTM, 38.388273, -81.824603, 126, 12.28, 0.077
R1_in_OrdPk_LTM, 38.388387, -81.825884, 127, 12.35, 0.070
R1_in_OrdPk_LTM, 38.388452, -81.829255, 128, 12.53, 0.183
R1_in_OrdPk_LTM, 38.388907, -81.831333, 129, 12.65, 0.117
R1_in_OrdPk_LTM, 38.389373, -81.833266, 130, 12.76, 0.110
R1_in_OrdPk_LTM, 38.389808, -81.834869, 131, 12.85, 0.092
R1_in_OrdPk_LTM, 38.388790, -81.835265, 132, 12.92, 0.073
R1_in_OrdPk_LTM, 38.387725, -81.835689, 133, 13.00, 0.077
R1_in_OrdPk_LTM, 38.386810, -81.836096, 134, 13.07, 0.067
R1_in_OrdPk_LTM, 38.386488, -81.836232, 135, 13.09, 0.023
R1_in_OrdPk_LTM, 38.386259, -81.835375, 136, 13.14, 0.049
R1_in_OrdPk_LTM, 38.386025, -81.835470, 137, 13.16, 0.017
