route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
R1,saturdays,1out_rt22_39, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_40, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_41, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_42, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_43, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_44, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_45, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_46, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_47, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_48, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_49, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_50, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_51, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_52, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1out_rt22_53, St. Albans,,0,,1_KT_Out,1
R1,saturdays,1in_g_3, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_g_4, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_g_5, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_g_6, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_g_7, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_g_8, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_g_9, Capitol,,1,,1_MC_In,1
R1,saturdays,1in_35st_1, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_35st_2, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_35st_3, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_35st_4, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_35st_5, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_30, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_31, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_32, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_33, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_34, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_35, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_36, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_37, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_38, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_39, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_40, Capitol,,1,,1_MC_In,1
R1,saturdays,1in_rt2_41, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_42, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_43, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_44, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_45, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_46, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_47, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_48, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_49, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_50, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_51, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_52, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_53, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt2_54, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt22_30, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt22_31, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt22_32, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt22_33, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt22_34, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt22_35, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt22_36, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt22_37, Capitol,,1,,1_MC_In,1
R1,saturdays,1in_rt22_38, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt22_39, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt22_40, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt22_41, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt22_42, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt22_43, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt22_44, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt22_45, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt22_46, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt22_47, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt22_48, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt22_49, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt22_50, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt22_51, Capitol,,1,,1_KT_In,1
R1,saturdays,1in_rt22_52, Capitol,,1,,1_KT_In,1
R11,weekdays,11out_5,Oakridge,,0,,11_Out,1
R11,weekdays,11in_5,Laidley Transit Mall Transit Mall,,1,,11_In,1
R11,opdays,11out_1,Oakridge,,0,,11_Out,1
R11,opdays,11out_2,Oakridge,,0,,11_Out,1
R11,opdays,11out_3,Oakridge,,0,,11_Out,1
R11,opdays,11out_4,Oakridge,,0,,11_Out,1
R11,opdays,11out_6,Oakridge,,0,,11_Out,1
R11,opdays,11out_7,Oakridge,,0,,11_Out,1
R11,opdays,11out_8,Oakridge,,0,,11_Out,1
R11,opdays,11out_9,Oakridge,,0,,11_Out,1
R11,opdays,11in_1,Laidley Transit Mall,,1,,11_In,1
R11,opdays,11in_2,Laidley Transit Mall,,1,,11_In,1
R11,opdays,11in_3,Laidley Transit Mall,,1,,11_In,1
R11,opdays,11in_4,Laidley Transit Mall,,1,,11_In,1
R11,opdays,11in_6,Laidley Transit Mall,,1,,11_In,1
R11,opdays,11in_7,Laidley Transit Mall,,1,,11_In,1
R11,opdays,11in_8,Laidley Transit Mall,,1,,11_In,1
