trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
3453-167-164,,,228,45,3,3,
3453-167-164,10:16:00,10:16:00,69,50,0,0,
3453-167-164,,,229,55,3,3,
3453-167-164,10:18:00,10:18:00,70,60,0,0,
3453-167-164,,,230,61,3,3,
3453-167-164,,,231,62,3,3,
3453-167-164,10:20:00,10:20:00,65,70,0,0,
3453-167-164,,,232,72,3,3,
3453-167-164,,,233,73,3,3,
3453-167-164,,,234,74,3,3,
3453-167-164,,,235,75,3,3,
3453-167-164,,,236,76,3,3,
3453-167-164,10:24:00,10:24:00,67,80,0,0,
3453-167-164,,,237,82,3,3,
3453-167-164,,,235,83,3,3,
3453-167-164,,,234,84,3,3,
3453-167-164,,,233,87,3,3,
3453-167-164,,,232,88,3,3,
3453-167-164,10:35:00,10:35:00,66,90,0,0,
3454-167-164,11:00:00,11:00:00,65,10,0,0,
3454-167-164,,,231,13,3,3,
3454-167-164,,,230,14,3,3,
3454-167-164,11:03:00,11:03:00,70,15,0,0,
3454-167-164,,,229,20,3,3,
3454-167-164,11:06:00,11:06:00,69,30,0,0,
3454-167-164,,,228,35,3,3,
3454-167-164,11:10:00,11:10:00,68,40,0,0,
3454-167-164,,,228,45,3,3,
3454-167-164,11:16:00,11:16:00,69,50,0,0,
3454-167-164,,,229,55,3,3,
3454-167-164,11:18:00,11:18:00,70,60,0,0,
3454-167-164,,,230,61,3,3,
3454-167-164,,,231,62,3,3,
3454-167-164,11:20:00,11:20:00,65,70,0,0,
3454-167-164,,,232,72,3,3,
3454-167-164,,,233,73,3,3,
3454-167-164,,,234,74,3,3,
3454-167-164,,,235,75,3,3,
3454-167-164,,,236,76,3,3,
3454-167-164,11:24:00,11:24:00,67,80,0,0,
3454-167-164,,,237,82,3,3,
3454-167-164,,,235,83,3,3,
3454-167-164,,,234,84,3,3,
3454-167-164,,,233,87,3,3,
3454-167-164,,,232,88,3,3,
3454-167-164,11:35:00,11:35:00,66,90,0,0,
3455-167-164,12:00:00,12:00:00,65,10,0,0,
3455-167-164,,,231,13,3,3,
3455-167-164,,,230,14,3,3,
3455-167-164,12:03:00,12:03:00,70,15,0,0,
3455-167-164,,,229,20,3,3,
3455-167-164,12:06:00,12:06:00,69,30,0,0,
3455-167-164,,,228,35,3,3,
3455-167-164,12:10:00,12:10:00,68,40,0,0,
3455-167-164,,,228,45,3,3,
3455-167-164,12:16:00,12:16:00,69,50,0,0,
3455-167-164,,,229,55,3,3,
3455-167-164,12:18:00,12:18:00,70,60,0,0,
3455-167-164,,,230,61,3,3,
3455-167-164,,,231,62,3,3,
3455-167-164,12:20:00,12:20:00,65,70,0,0,
3455-167-164,,,232,72,3,3,
3455-167-164,,,233,73,3,3,
3455-167-164,,,234,74,3,3,
3455-167-164,,,235,75,3,3,
3455-167-164,,,236,76,3,3,
3455-167-164,12:24:00,12:24:00,67,80,0,0,
3455-167-164,,,237,82,3,3,
3455-167-164,,,235,83,3,3,
3455-167-164,,,234,84,3,3,
3455-167-164,,,233,87,3,3,
3455-167-164,,,232,88,3,3,
3455-167-164,12:35:00,12:35:00,66,90,0,0,
3456-167-164,13:00:00,13:00:00,65,10,0,0,
3456-167-164,,,231,13,3,3,
