shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled,d_between_pts_mi
HAT,39.160831,-80.04866,520,6.28,0.01
HAT,39.160645,-80.048782,525,6.29,0.01
HAT,39.160355,-80.048752,530,6.29,0.00
HAT,39.16024,-80.048607,535,6.29,0.00
HAT,39.160004,-80.048546,540,6.29,0.01
HAT,39.159866,-80.048561,545,6.30,0.00
HAT,39.159599,-80.048767,550,6.31,0.01
HAT,39.159321,-80.049171,555,6.34,0.03
HAT,39.15896789,-80.04930739,560,6.35,0.01
HAT,39.158672,-80.049316,565,6.35,0.00
HAT,39.15864667,-80.04918842,570,6.36,0.01
HAT,39.15833629,-80.04862362,575,6.40,0.04
HAT,39.15819826,-80.04833894,580,6.42,0.02
HAT,39.15857826,-80.04805223,585,6.44,0.02
HAT,39.15861097,-80.04787079,590,6.45,0.01
HAT,39.15855922,-80.04770423,595,6.47,0.01
HAT,39.15832841,-80.0476031,600,6.47,0.01
HAT,39.15810534,-80.04771613,605,6.48,0.01
HAT,39.1580405,-80.04801356,610,6.50,0.02
HAT,39.15811062,-80.04815818,615,6.51,0.01
HAT,39.15819826,-80.04833894,620,6.52,0.01
HAT,39.15833569,-80.04862887,625,6.54,0.02
HAT,39.15864333,-80.04919039,630,6.58,0.04
HAT,39.158672,-80.049316,635,6.59,0.01
HAT,39.15815,-80.05014,640,6.65,0.06
HAT,39.157997,-80.050529,645,6.68,0.03
HAT,39.158001,-80.05072,650,6.69,0.01
HAT,39.158054,-80.050858,655,6.70,0.01
HAT,39.15815,-80.051056,660,6.71,0.01
HAT,39.15815,-80.051056,665,6.71,0.00
HAT,39.158333,-80.051239,670,6.73,0.01
HAT,39.158489,-80.051285,675,6.73,0.00
HAT,39.158653,-80.051216,680,6.73,0.01
HAT,39.158783,-80.051041,685,6.75,0.01
HAT,39.158962,-80.050659,690,6.77,0.03
HAT,39.159321,-80.049171,695,6.88,0.10
HAT,39.159599,-80.048767,700,6.90,0.03
HAT,39.159767,-80.048615,705,6.92,0.01
HAT,39.160004,-80.048546,710,6.92,0.01
HAT,39.16024,-80.048607,715,6.93,0.01
HAT,39.160355,-80.048752,720,6.94,0.01
HAT,39.160439,-80.048782,725,6.94,0.00
